Id,Age,Income,Home,Emp_length,Intent,Amount,Rate,Status,Percent_income,PREVIOUS LOANS,Cred_length,DATE
32,26,95000,RENT,7,HOMEIMPROVEMENT,31050,14.17,1,33.00%,Y,3,21-01-2023
33,25,306000,RENT,2,DEBTCONSOLIDATION,24250,13.85,0,8.00%,N,3,20-04-2025
34,26,300000,MORTGAGE,10,MEDICAL,7800,13.49,0,3.00%,N,4,16-06-2023
35,21,12000,OWN,5,EDUCATION,2500,7.51,1,21.00%,N,4,23-01-2024
36,22,48000,RENT,1,EDUCATION,30000,18.39,1,63.00%,N,2,23-08-2024
37,24,64000,RENT,8,DEBTCONSOLIDATION,30000,14.54,1,47.00%,Y,3,12-11-2023
38,25,75000,RENT,4,HOMEIMPROVEMENT,30000,16.89,1,40.00%,Y,4,14-01-2023
39,23,71500,RENT,3,DEBTCONSOLIDATION,30000,,1,42.00%,N,4,30-08-2023
40,26,62050,RENT,6,MEDICAL,30000,17.99,1,41.00%,N,2,15-02-2025
41,24,12000,OWN,4,VENTURE,2500,12.69,1,21.00%,N,3,18-07-2024
42,26,300000,MORTGAGE,10,VENTURE,20000,7.88,0,7.00%,N,4,16-06-2025
43,23,300000,OWN,1,EDUCATION,24250,19.41,0,8.00%,Y,2,02-04-2023
44,26,300000,OWN,9,HOMEIMPROVEMENT,10000,10.38,0,3.00%,N,4,13-08-2025
45,26,300000,MORTGAGE,0,EDUCATION,25000,15.33,0,8.00%,N,3,23-05-2024
46,25,300000,MORTGAGE,9,HOMEIMPROVEMENT,18000,16.45,0,6.00%,N,3,14-02-2025
47,26,80690,RENT,8,PERSONAL,30000,7.49,1,37.00%,N,3,04-02-2023
48,22,66300,RENT,4,MEDICAL,30000,12.69,1,38.00%,N,3,25-07-2023
49,26,89028,RENT,0,DEBTCONSOLIDATION,30000,6.62,1,34.00%,N,3,22-10-2025
50,24,78000,RENT,4,DEBTCONSOLIDATION,30000,,1,38.00%,Y,4,18-10-2025
51,23,78000,RENT,7,DEBTCONSOLIDATION,30000,18.62,1,38.00%,Y,3,19-07-2024
52,23,92004,RENT,6,PERSONAL,30000,15.23,1,33.00%,Y,3,03-12-2024
53,23,97000,RENT,7,VENTURE,30000,10.65,1,31.00%,N,2,06-02-2024
54,25,120000,RENT,9,EDUCATION,30000,7.9,0,25.00%,N,4,30-12-2024
55,26,280000,RENT,4,PERSONAL,10000,15.96,0,4.00%,Y,3,11-06-2023
56,26,277104,RENT,0,VENTURE,20000,11.48,0,7.00%,N,3,21-07-2023
57,23,277000,OWN,3,PERSONAL,35000,,0,13.00%,N,4,22-09-2025
58,25,128000,RENT,9,PERSONAL,30000,7.29,0,23.00%,N,4,27-09-2023
59,24,12000,OWN,2,VENTURE,1750,,0,15.00%,Y,3,26-03-2025
60,21,131000,RENT,0,VENTURE,30000,5.99,0,23.00%,N,4,31-03-2024
61,22,275000,OWN,6,VENTURE,12000,11.58,0,4.00%,N,2,13-10-2025
62,26,263000,MORTGAGE,0,EDUCATION,10000,,1,4.00%,N,4,23-10-2023
63,25,221850,MORTGAGE,9,MEDICAL,25000,15.7,1,10.00%,N,2,20-12-2024
64,22,70000,RENT,6,EDUCATION,29100,15.99,1,42.00%,N,3,04-12-2023
65,22,12000,MORTGAGE,7,EDUCATION,1500,14.84,0,13.00%,Y,3,28-05-2025
66,26,260000,OWN,10,HOMEIMPROVEMENT,28000,10.99,0,11.00%,N,3,12-12-2025
67,25,259000,MORTGAGE,9,HOMEIMPROVEMENT,20000,14.42,0,8.00%,Y,2,02-03-2025
68,24,255000,MORTGAGE,9,EDUCATION,9600,6.99,0,4.00%,N,2,05-08-2023
69,25,250000,RENT,2,MEDICAL,25000,13.49,0,10.00%,N,4,02-02-2025
70,25,12000,OWN,0,MEDICAL,3000,,1,25.00%,N,3,07-07-2023
71,22,56950,RENT,6,MEDICAL,28000,,1,49.00%,N,2,15-01-2024
72,21,12000,OWN,6,EDUCATION,3000,13.61,1,25.00%,Y,3,07-05-2024
73,23,65000,RENT,2,EDUCATION,28000,7.9,1,43.00%,N,2,30-11-2025
74,26,85000,RENT,2,VENTURE,28000,7.49,1,33.00%,N,3,15-01-2023
75,26,12000,OWN,2,EDUCATION,6100,7.51,1,51.00%,N,3,06-03-2023
76,22,88000,RENT,6,VENTURE,28000,9.91,1,32.00%,N,3,04-06-2024
77,21,12000,OWN,0,PERSONAL,4200,13.48,1,35.00%,Y,4,09-10-2024
78,22,12000,OWN,6,DEBTCONSOLIDATION,4750,7.14,1,40.00%,N,2,22-12-2025
79,24,83004,RENT,0,VENTURE,28000,15.99,1,34.00%,Y,4,15-08-2024
80,24,250000,RENT,2,EDUCATION,18000,12.98,0,7.00%,Y,3,27-01-2024
81,144,250000,RENT,4,VENTURE,4800,13.57,0,2.00%,N,3,23-02-2024
82,25,100000,RENT,5,DEBTCONSOLIDATION,28000,12.69,0,28.00%,N,3,16-10-2023
83,26,110000,RENT,10,EDUCATION,28000,8.9,0,25.00%,N,2,14-01-2024
84,26,12000,OWN,0,DEBTCONSOLIDATION,2700,,1,23.00%,N,4,19-08-2023
85,22,108000,RENT,6,EDUCATION,28000,,1,26.00%,N,4,14-10-2025
86,23,151200,RENT,7,DEBTCONSOLIDATION,28000,11.11,0,19.00%,N,2,10-02-2023
87,24,69000,RENT,2,HOMEIMPROVEMENT,27600,,1,40.00%,N,2,17-11-2025
88,21,12000,MORTGAGE,5,DEBTCONSOLIDATION,3250,15.68,1,27.00%,Y,3,15-05-2023
89,22,70000,RENT,4,EDUCATION,27500,13.06,1,39.00%,Y,3,20-07-2023
90,22,240000,OWN,6,PERSONAL,25000,,0,10.00%,N,2,18-02-2025
91,26,73200,RENT,5,VENTURE,27050,15.62,1,37.00%,Y,2,18-07-2025
92,24,83000,RENT,5,PERSONAL,27000,13.49,1,33.00%,Y,2,22-11-2025
93,24,73399,RENT,0,VENTURE,27000,,1,37.00%,N,3,07-12-2025
94,23,62500,RENT,7,MEDICAL,26000,11.71,1,42.00%,N,2,17-05-2024
95,23,120000,RENT,1,EDUCATION,25600,12.69,0,21.00%,N,3,11-02-2024
96,24,12360,OWN,2,MEDICAL,1600,13.57,0,13.00%,N,3,15-03-2025
97,22,60000,RENT,0,VENTURE,25475,10.99,1,42.00%,N,3,09-04-2023
98,25,234000,MORTGAGE,3,MEDICAL,20000,14.27,0,9.00%,Y,4,14-11-2024
99,24,234000,OWN,8,HOMEIMPROVEMENT,20000,8.88,0,9.00%,N,4,26-12-2024
100,26,234000,MORTGAGE,10,HOMEIMPROVEMENT,21600,12.18,0,9.00%,N,3,18-08-2025
101,25,221004,MORTGAGE,6,DEBTCONSOLIDATION,11900,14.42,1,5.00%,Y,3,04-09-2024
102,26,232500,MORTGAGE,0,MEDICAL,25000,14.17,0,11.00%,Y,2,04-10-2024
103,25,230000,MORTGAGE,5,MEDICAL,35000,13.99,0,15.00%,N,4,25-10-2025
104,23,83000,RENT,7,EDUCATION,25300,10.99,1,30.00%,N,3,17-05-2024
105,22,12600,MORTGAGE,,PERSONAL,2000,5.42,1,16.00%,N,4,05-02-2025
106,25,12600,OWN,3,PERSONAL,1750,13.61,0,14.00%,N,3,02-02-2024
107,21,42500,RENT,3,EDUCATION,25000,12.73,1,59.00%,Y,3,20-05-2025
108,24,41000,RENT,2,HOMEIMPROVEMENT,25000,,1,61.00%,N,3,05-03-2025
109,25,12816,OWN,0,DEBTCONSOLIDATION,3000,12.87,1,23.00%,Y,4,28-01-2024
110,24,12960,MORTGAGE,1,HOMEIMPROVEMENT,3650,9.91,1,28.00%,N,3,26-07-2023
111,26,226000,MORTGAGE,4,HOMEIMPROVEMENT,20000,11.49,0,9.00%,N,4,04-11-2025
112,25,225000,MORTGAGE,0,HOMEIMPROVEMENT,30000,19.91,0,13.00%,Y,2,10-06-2025
113,26,213000,MORTGAGE,6,EDUCATION,35000,10.65,1,16.00%,N,2,13-05-2025
114,24,225000,RENT,0,MEDICAL,6000,,0,3.00%,N,4,12-01-2025
115,24,12960,MORTGAGE,0,DEBTCONSOLIDATION,4500,11.83,1,35.00%,N,4,17-07-2024
116,23,12996,OWN,0,DEBTCONSOLIDATION,2400,13.49,1,18.00%,Y,2,17-10-2025
117,22,42000,RENT,6,MEDICAL,25000,14.59,1,60.00%,Y,2,06-04-2023
118,26,48000,RENT,2,EDUCATION,25000,9.64,1,52.00%,N,4,29-04-2024
119,25,12996,OWN,1,MEDICAL,3600,14.59,1,28.00%,N,3,19-08-2023
120,22,12996,OWN,1,EDUCATION,4750,,1,37.00%,N,3,18-01-2025
121,25,42360,RENT,1,EDUCATION,25000,16.35,1,59.00%,Y,3,24-06-2024
122,21,49000,RENT,4,EDUCATION,25000,10.99,1,51.00%,N,2,25-11-2025
123,25,225000,MORTGAGE,0,VENTURE,25000,18.67,0,11.00%,N,2,08-06-2024
124,26,225000,RENT,1,EDUCATION,3000,9.32,0,1.00%,N,4,31-07-2024
125,23,225000,RENT,8,DEBTCONSOLIDATION,7500,8.63,0,3.00%,N,2,12-11-2024
126,26,225000,MORTGAGE,2,VENTURE,25000,10.08,0,11.00%,N,2,10-07-2024
127,22,49464,RENT,5,PERSONAL,25000,11.83,1,51.00%,N,3,09-10-2025
128,23,50000,RENT,1,DEBTCONSOLIDATION,25000,7.9,1,50.00%,N,3,07-10-2024
129,25,50000,RENT,4,HOMEIMPROVEMENT,25000,5.99,1,50.00%,N,2,06-03-2025
130,24,44000,RENT,2,DEBTCONSOLIDATION,25000,15.33,1,57.00%,N,2,17-11-2025
131,23,50000,RENT,1,VENTURE,25000,11.83,1,50.00%,N,4,09-07-2023
132,22,50004,RENT,0,VENTURE,25000,10.36,1,50.00%,N,2,24-09-2024
133,22,50004,RENT,3,VENTURE,25000,12.23,1,50.00%,N,3,19-09-2024
134,22,52000,RENT,2,EDUCATION,25000,11.11,1,48.00%,N,4,30-08-2025
135,23,13200,OWN,3,DEBTCONSOLIDATION,4950,7.9,1,38.00%,N,4,10-12-2024
136,24,220000,MORTGAGE,1,EDUCATION,25000,11.58,0,11.00%,N,2,10-10-2024
137,23,216000,MORTGAGE,5,DEBTCONSOLIDATION,21000,8.9,0,10.00%,N,3,14-11-2023
138,25,216000,MORTGAGE,2,EDUCATION,25000,16.07,0,12.00%,N,3,14-11-2024
139,26,216000,MORTGAGE,10,EDUCATION,20000,14.22,0,9.00%,Y,2,25-10-2024
140,23,215000,MORTGAGE,7,MEDICAL,35000,14.79,0,16.00%,Y,3,17-03-2024
141,26,215000,MORTGAGE,11,EDUCATION,12000,7.88,0,6.00%,N,2,17-07-2024
142,23,52000,RENT,1,PERSONAL,25000,13.22,1,48.00%,N,2,09-08-2025
143,26,46000,RENT,2,DEBTCONSOLIDATION,25000,11.86,1,54.00%,N,4,29-11-2024
144,22,53000,RENT,5,EDUCATION,25000,13.43,1,47.00%,Y,4,23-04-2023
145,26,47000,RENT,0,HOMEIMPROVEMENT,25000,15.28,1,53.00%,Y,2,02-01-2023
146,23,47000,RENT,1,VENTURE,25000,17.93,1,53.00%,N,2,03-10-2024
147,23,13200,MORTGAGE,2,EDUCATION,1400,9.25,0,11.00%,N,4,08-08-2023
148,21,13200,OWN,0,VENTURE,4500,12.98,1,34.00%,N,4,04-05-2025
149,22,210000,MORTGAGE,6,VENTURE,16000,10.62,0,8.00%,N,4,20-01-2024
150,26,210000,OWN,10,PERSONAL,22000,11.83,0,10.00%,N,4,12-12-2025
151,26,48000,RENT,5,VENTURE,25000,18.43,1,52.00%,N,2,30-12-2024
152,22,54996,RENT,6,EDUCATION,25000,,1,45.00%,N,4,04-09-2023
153,24,55000,RENT,4,HOMEIMPROVEMENT,25000,,1,45.00%,Y,4,15-04-2025
154,23,55000,RENT,4,EDUCATION,25000,11.36,1,45.00%,N,3,22-07-2023
155,23,55000,RENT,4,EDUCATION,25000,15.65,1,45.00%,Y,3,03-05-2023
156,24,55164,RENT,8,PERSONAL,25000,13.22,1,45.00%,Y,4,05-02-2024
157,26,56000,RENT,4,DEBTCONSOLIDATION,25000,12.87,1,45.00%,N,2,05-02-2025
158,24,203500,OWN,8,MEDICAL,20000,13.04,0,10.00%,N,3,21-10-2023
159,23,190000,MORTGAGE,5,EDUCATION,22000,17.58,1,12.00%,Y,3,07-10-2023
160,23,13920,OWN,2,PERSONAL,7750,17.04,1,56.00%,N,4,02-06-2025
161,24,60000,RENT,0,PERSONAL,25000,10.99,1,42.00%,N,3,17-07-2023
162,24,60000,RENT,2,PERSONAL,25000,11.11,1,42.00%,N,3,08-09-2025
163,26,54000,RENT,7,DEBTCONSOLIDATION,25000,14.83,1,46.00%,Y,2,21-01-2025
164,23,14000,OWN,2,DEBTCONSOLIDATION,4000,,1,29.00%,N,3,24-05-2023
165,24,200000,RENT,8,MEDICAL,12000,12.69,0,6.00%,N,2,31-08-2024
166,24,200000,MORTGAGE,8,HOMEIMPROVEMENT,12000,13.49,0,6.00%,N,2,06-07-2023
167,21,200000,MORTGAGE,5,EDUCATION,16000,14.65,0,8.00%,N,4,08-04-2024
168,25,54000,RENT,3,HOMEIMPROVEMENT,25000,16.82,1,46.00%,N,4,21-10-2024
169,23,60000,RENT,3,PERSONAL,25000,12.73,1,42.00%,N,3,02-02-2025
170,23,60000,RENT,7,PERSONAL,25000,10.25,1,42.00%,N,4,12-08-2025
171,21,60000,RENT,6,EDUCATION,25000,10.99,1,42.00%,N,4,07-02-2024
172,25,61959,RENT,9,MEDICAL,25000,12.73,1,40.00%,N,2,27-05-2023
173,22,56400,RENT,2,HOMEIMPROVEMENT,25000,14.96,1,44.00%,Y,3,13-05-2025
174,23,200000,MORTGAGE,7,EDUCATION,28000,,0,14.00%,N,2,03-05-2024
175,21,200000,MORTGAGE,2,DEBTCONSOLIDATION,25000,13.99,0,13.00%,N,2,17-07-2025
176,24,200000,MORTGAGE,3,VENTURE,24000,7.49,0,12.00%,N,4,04-07-2024
177,26,200000,MORTGAGE,4,EDUCATION,15000,14.79,0,7.00%,N,3,04-12-2023
178,25,200000,MORTGAGE,2,DEBTCONSOLIDATION,15500,11.99,0,8.00%,N,2,21-05-2025
179,24,200000,RENT,8,EDUCATION,10000,8.49,0,5.00%,N,4,02-10-2024
180,24,66000,RENT,3,EDUCATION,25000,9.91,1,38.00%,N,2,17-04-2024
181,22,66000,RENT,6,EDUCATION,25000,13.06,1,38.00%,Y,3,31-05-2023
182,22,200000,MORTGAGE,6,DEBTCONSOLIDATION,9000,6.17,0,4.00%,N,4,20-09-2023
183,144,200000,MORTGAGE,4,EDUCATION,6000,11.86,0,3.00%,N,2,24-05-2023
184,25,200000,RENT,5,EDUCATION,18000,16.32,0,9.00%,N,3,12-12-2023
185,25,200000,MORTGAGE,2,VENTURE,12000,10.38,0,6.00%,N,2,15-09-2024
186,25,200000,MORTGAGE,9,PERSONAL,23050,14.35,0,12.00%,N,3,13-10-2025
187,24,200000,MORTGAGE,8,DEBTCONSOLIDATION,20000,,0,10.00%,N,3,30-05-2025
188,24,60000,RENT,2,DEBTCONSOLIDATION,25000,,1,42.00%,Y,2,02-01-2023
189,21,14400,OWN,0,HOMEIMPROVEMENT,3000,,1,21.00%,N,4,15-06-2025
190,26,66996,RENT,10,PERSONAL,25000,15.21,1,37.00%,Y,2,11-09-2023
191,23,67000,RENT,3,EDUCATION,25000,7.9,1,37.00%,N,4,28-03-2024
192,24,67000,RENT,2,VENTURE,25000,10.99,1,37.00%,N,3,26-11-2025
193,24,68000,RENT,5,PERSONAL,25000,14.09,1,37.00%,Y,3,11-10-2025
194,25,69000,RENT,9,PERSONAL,25000,17.49,1,36.00%,N,2,09-01-2023
195,25,200000,MORTGAGE,0,EDUCATION,12000,11.48,0,6.00%,N,3,26-03-2025
196,26,188000,MORTGAGE,10,VENTURE,20000,17.74,1,11.00%,N,2,27-07-2023
197,26,200000,MORTGAGE,4,PERSONAL,3000,13.92,0,1.00%,N,3,08-02-2024
198,25,69996,RENT,9,EDUCATION,25000,15.21,1,36.00%,N,3,01-06-2023
199,22,14400,OWN,2,MEDICAL,4000,10.99,1,28.00%,N,3,23-02-2023
200,24,70000,RENT,3,EDUCATION,25000,11.86,1,36.00%,N,4,19-09-2024
201,24,14400,OWN,5,PERSONAL,6000,7.49,1,42.00%,N,3,09-08-2024
202,24,56100,RENT,7,MEDICAL,25000,16.49,1,38.00%,N,4,14-04-2023
203,25,66000,RENT,9,VENTURE,25000,15.33,1,38.00%,Y,2,11-09-2023
204,26,66000,RENT,3,HOMEIMPROVEMENT,25000,11.58,1,38.00%,N,4,24-05-2024
205,25,14400,OWN,7,EDUCATION,5375,5.79,1,37.00%,N,2,09-04-2023
206,25,72612,RENT,9,MEDICAL,25000,13.11,1,34.00%,N,2,02-06-2023
207,23,74000,RENT,3,MEDICAL,25000,10.36,1,34.00%,N,3,02-07-2025
208,25,75000,RENT,9,DEBTCONSOLIDATION,25000,10.36,1,33.00%,N,2,27-05-2025
209,24,192000,RENT,0,MEDICAL,22000,,0,11.00%,Y,2,04-12-2023
210,21,192000,MORTGAGE,123,VENTURE,20000,6.54,0,10.00%,N,4,01-04-2025
211,25,191000,MORTGAGE,1,MEDICAL,10000,12.53,0,5.00%,N,4,14-08-2025
212,26,190300,MORTGAGE,5,PERSONAL,15000,,0,8.00%,N,3,10-06-2023
213,22,190000,MORTGAGE,3,VENTURE,10000,,0,5.00%,N,3,11-03-2025
214,24,75000,RENT,4,EDUCATION,25000,10.25,1,33.00%,N,4,02-02-2024
215,22,71000,RENT,1,EDUCATION,25000,15.95,1,35.00%,Y,4,26-03-2025
216,26,190000,MORTGAGE,3,VENTURE,20000,12.18,0,11.00%,N,4,05-02-2024
217,23,189996,OWN,0,PERSONAL,24000,11.83,0,13.00%,N,3,01-10-2024
218,23,78000,RENT,7,DEBTCONSOLIDATION,25000,,1,32.00%,Y,2,22-11-2025
219,23,78000,RENT,1,VENTURE,25000,10.62,1,32.00%,N,3,18-11-2024
220,23,78504,RENT,7,VENTURE,25000,10.74,1,32.00%,N,3,04-04-2024
221,25,186000,OWN,9,VENTURE,10000,10.25,0,5.00%,N,4,12-08-2025
222,24,185000,MORTGAGE,,EDUCATION,35000,12.42,0,19.00%,N,2,14-04-2024
223,25,185000,RENT,6,VENTURE,15000,15.27,0,8.00%,N,2,11-11-2025
224,24,62050,RENT,8,MEDICAL,25000,15.33,1,34.00%,Y,2,19-01-2025
225,23,79416,RENT,7,VENTURE,25000,15.21,1,31.00%,Y,2,07-02-2023
226,21,14400,OWN,4,VENTURE,6250,14.72,1,43.00%,N,2,18-08-2023
227,24,79631,RENT,8,PERSONAL,25000,15.7,1,31.00%,Y,2,16-07-2024
228,24,79632,RENT,0,EDUCATION,25000,13.35,1,31.00%,N,4,13-03-2024
229,21,14400,MORTGAGE,0,MEDICAL,1500,,0,10.00%,N,4,27-01-2023
230,24,80000,RENT,6,EDUCATION,25000,6.62,1,31.00%,N,2,14-08-2023
231,26,80000,RENT,5,DEBTCONSOLIDATION,25000,13.61,1,31.00%,N,4,08-03-2025
232,22,185000,RENT,4,MEDICAL,25000,11.36,0,14.00%,N,2,11-10-2023
233,26,185000,OWN,10,PERSONAL,5000,7.68,0,3.00%,N,2,28-05-2025
234,24,184992,RENT,7,HOMEIMPROVEMENT,22000,14.46,0,12.00%,Y,4,17-08-2025
235,23,184000,OWN,5,EDUCATION,2500,11.83,0,1.00%,N,2,28-03-2024
236,24,172000,MORTGAGE,6,DEBTCONSOLIDATION,20000,13.47,1,12.00%,Y,4,16-10-2025
237,24,183000,MORTGAGE,2,MEDICAL,20000,11.49,0,11.00%,N,3,26-03-2025
238,22,183000,MORTGAGE,3,EDUCATION,1000,,0,1.00%,N,2,20-10-2024
239,25,182952,MORTGAGE,9,PERSONAL,15000,6.03,0,8.00%,N,3,30-06-2024
240,23,74004,RENT,7,DEBTCONSOLIDATION,25000,16.35,1,34.00%,N,4,08-12-2025
241,26,74004,RENT,10,DEBTCONSOLIDATION,25000,,1,34.00%,Y,4,17-01-2023
242,25,81000,RENT,5,DEBTCONSOLIDATION,25000,7.29,1,31.00%,N,3,07-06-2023
243,23,81600,RENT,1,MEDICAL,25000,11.36,1,31.00%,N,3,21-04-2024
244,24,82000,RENT,8,VENTURE,25000,10.25,0,30.00%,N,2,05-12-2025
245,24,83000,RENT,5,EDUCATION,25000,11.12,0,30.00%,N,3,01-06-2024
246,24,83000,RENT,5,PERSONAL,25000,12.92,0,30.00%,Y,3,09-04-2023
247,24,180000,RENT,8,EDUCATION,18000,18.64,0,10.00%,Y,4,26-11-2025
248,23,180000,MORTGAGE,8,PERSONAL,28000,7.51,0,16.00%,N,3,07-10-2023
249,23,14400,OWN,2,HOMEIMPROVEMENT,4000,16.7,1,28.00%,N,2,11-05-2024
250,22,14400,OWN,0,PERSONAL,2100,11.14,0,15.00%,N,4,29-10-2023
251,22,84500,RENT,6,PERSONAL,25000,18.3,0,30.00%,N,4,30-06-2023
252,24,85000,RENT,5,MEDICAL,25000,10.62,0,29.00%,N,4,29-08-2024
253,24,180000,MORTGAGE,7,VENTURE,14000,11.99,0,8.00%,N,2,30-11-2024
254,26,180000,MORTGAGE,2,VENTURE,12000,9.63,0,7.00%,N,4,19-09-2025
255,25,142800,MORTGAGE,9,MEDICAL,10000,18.25,1,6.00%,N,4,10-07-2023
256,23,14664,MORTGAGE,0,DEBTCONSOLIDATION,6000,,1,41.00%,N,4,10-09-2023
257,24,87000,RENT,8,HOMEIMPROVEMENT,25000,14.84,0,29.00%,N,3,07-09-2025
258,24,75000,RENT,0,VENTURE,25000,14.7,1,33.00%,Y,3,16-07-2025
259,23,76000,RENT,7,DEBTCONSOLIDATION,25000,16.02,1,33.00%,N,4,08-05-2023
260,23,66215,RENT,1,MEDICAL,25000,15.37,1,32.00%,Y,2,18-01-2023
261,25,90000,RENT,9,MEDICAL,25000,10.99,0,28.00%,N,4,19-07-2024
262,21,15000,OWN,0,HOMEIMPROVEMENT,6200,7.9,1,41.00%,N,2,23-07-2024
263,26,180000,OWN,2,PERSONAL,25000,10.99,0,14.00%,N,4,16-11-2024
264,24,180000,OWN,8,EDUCATION,21000,11.48,0,12.00%,N,3,17-09-2024
265,25,180000,OWN,9,MEDICAL,20000,14.26,0,11.00%,Y,4,03-05-2025
266,26,180000,OWN,0,HOMEIMPROVEMENT,10000,8,0,6.00%,N,4,19-08-2025
267,25,180000,MORTGAGE,3,VENTURE,9950,11.26,0,6.00%,N,2,04-06-2023
268,23,15000,OWN,7,MEDICAL,4475,,1,30.00%,N,4,04-05-2024
269,23,78000,RENT,2,VENTURE,25000,16.32,1,32.00%,Y,3,23-02-2025
270,25,66300,RENT,3,MEDICAL,25000,17.93,1,32.00%,Y,4,03-09-2023
271,23,90000,RENT,0,DEBTCONSOLIDATION,25000,11.36,0,28.00%,N,3,28-11-2025
272,24,79000,RENT,9,DEBTCONSOLIDATION,25000,14.96,1,32.00%,Y,4,28-01-2025
273,24,91800,RENT,4,PERSONAL,25000,13.43,0,27.00%,Y,3,21-06-2024
274,25,92000,RENT,6,HOMEIMPROVEMENT,25000,12.69,0,27.00%,N,3,09-07-2025
275,24,92000,RENT,1,VENTURE,25000,12.73,0,27.00%,Y,4,12-02-2024
276,23,93600,RENT,3,VENTURE,25000,15.21,0,27.00%,N,4,08-06-2024
277,23,15000,MORTGAGE,1,MEDICAL,1750,12.68,0,12.00%,Y,3,07-04-2025
278,23,70550,RENT,3,MEDICAL,25000,19.04,1,30.00%,Y,4,21-06-2025
279,25,83800,RENT,2,DEBTCONSOLIDATION,25000,15.95,1,30.00%,Y,3,05-02-2023
280,26,175000,MORTGAGE,3,VENTURE,2600,8.9,0,1.00%,N,4,15-11-2024
281,25,175000,MORTGAGE,10,HOMEIMPROVEMENT,8000,7.9,0,5.00%,N,2,20-01-2023
282,22,175000,MORTGAGE,6,EDUCATION,18000,,0,10.00%,N,2,17-11-2023
283,23,175000,MORTGAGE,8,PERSONAL,21000,11.99,0,12.00%,N,3,26-05-2024
284,23,15000,OWN,4,DEBTCONSOLIDATION,4000,13.98,1,27.00%,N,4,04-02-2024
285,23,15000,OWN,4,VENTURE,4600,10.99,1,31.00%,N,2,15-10-2024
286,22,88000,RENT,6,DEBTCONSOLIDATION,25000,15.58,1,28.00%,Y,2,29-08-2025
287,25,74800,RENT,2,MEDICAL,25000,10.99,1,28.00%,N,2,15-04-2024
288,25,88000,RENT,0,VENTURE,25000,14.96,1,28.00%,N,4,13-04-2025
289,25,15000,OWN,2,HOMEIMPROVEMENT,1750,15.31,0,12.00%,Y,4,27-12-2024
290,26,88000,RENT,2,VENTURE,25000,15.65,1,28.00%,N,3,03-05-2025
